contract_uid,contract_type,dataset,contract_basename,pdf_path,is_pdf_renamed,txt_path,is_txt_matched,is_txt_renamed,raw_html_path,is_raw_html_matched,is_raw_html_renamed,processed_html_path,ocr_results_path,pipeline_results_path,pipeline_results_csv_path,pipeline_results_json_path,processing_status
ct_1,Affiliate_Agreements,cuad,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,CUAD_v1/full_contract_pdf/Part_I/Affiliate_Agreements/ct_1.pdf,True,CUAD_v1/full_contract_txt/ct_1.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_1_ocr_results.json,,,,
ct_10,Co_Branding,cuad,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_10.pdf,True,CUAD_v1/full_contract_txt/ct_10.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_10_ocr_results.json,,,,
ct_100,Joint Venture,cuad,IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT,CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_100.PDF,True,CUAD_v1/full_contract_txt/ct_100.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_100_ocr_results.json,,,,
ct_101,Joint Venture,cuad,"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT",CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_101.PDF,True,CUAD_v1/full_contract_txt/ct_101.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_101_ocr_results.json,,,,
ct_102,Joint Venture,cuad,"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT",CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_102.PDF,True,CUAD_v1/full_contract_txt/ct_102.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_102_ocr_results.json,,,,
ct_103,Joint Venture,cuad,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_103.PDF,True,CUAD_v1/full_contract_txt/ct_103.txt,True,True,CUAD_v1/contract_raw_html/ct_103.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_103_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_103/ct_103_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_103/ct_103.json,True
ct_104,Joint Venture,cuad,VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT,CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_104.PDF,True,CUAD_v1/full_contract_txt/ct_104.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_104_ocr_results.json,,,,
ct_105,Joint Venture,cuad,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",CUAD_v1/full_contract_pdf/Part_I/Joint Venture/ct_105.PDF,True,CUAD_v1/full_contract_txt/ct_105.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_105_ocr_results.json,,,,
ct_106,License_Agreements,cuad,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_106.pdf,True,CUAD_v1/full_contract_txt/ct_106.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_106_ocr_results.json,,,,
ct_107,License_Agreements,cuad,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_107.pdf,True,CUAD_v1/full_contract_txt/ct_107.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_107_ocr_results.json,,,,
ct_108,License_Agreements,cuad,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_108.pdf,True,CUAD_v1/full_contract_txt/ct_108.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_108_ocr_results.json,,,,
ct_109,License_Agreements,cuad,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_109.pdf,True,CUAD_v1/full_contract_txt/ct_109.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_109_ocr_results.json,,,,
ct_11,Co_Branding,cuad,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_11.pdf,True,CUAD_v1/full_contract_txt/ct_11.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_11_ocr_results.json,,,,
ct_110,License_Agreements,cuad,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_110.pdf,True,CUAD_v1/full_contract_txt/ct_110.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_110_ocr_results.json,,,,
ct_111,License_Agreements,cuad,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_111.pdf,True,CUAD_v1/full_contract_txt/ct_111.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_111_ocr_results.json,,,,
ct_112,License_Agreements,cuad,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_112.pdf,True,CUAD_v1/full_contract_txt/ct_112.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_112_ocr_results.json,,,,
ct_113,License_Agreements,cuad,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_113.pdf,True,CUAD_v1/full_contract_txt/ct_113.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_113_ocr_results.json,,,,
ct_114,License_Agreements,cuad,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_114.pdf,True,CUAD_v1/full_contract_txt/ct_114.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_114_ocr_results.json,,,,
ct_115,License_Agreements,cuad,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_115.pdf,True,CUAD_v1/full_contract_txt/ct_115.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_115_ocr_results.json,,,,
ct_116,License_Agreements,cuad,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_116.pdf,True,CUAD_v1/full_contract_txt/ct_116.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_116_ocr_results.json,,,,
ct_117,License_Agreements,cuad,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_117.pdf,True,CUAD_v1/full_contract_txt/ct_117.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_117_ocr_results.json,,,,
ct_118,License_Agreements,cuad,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_118.pdf,True,CUAD_v1/full_contract_txt/ct_118.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_118_ocr_results.json,,,,
ct_119,License_Agreements,cuad,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_119.pdf,True,CUAD_v1/full_contract_txt/ct_119.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_119_ocr_results.json,,,,
